register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OV	ハナ	花		名詞-普通名詞-一般	和	1.5410	体	自然	植物	枝・葉・花・実	444	1902.078
OV	カナ	哉		助詞-終助詞	和						438	1876.374
OV	カ	か		助詞-終助詞	和						436	1867.806
OV	ラ	等		接尾辞-名詞的-一般	和	1.1951	体	関係	量	群・組・対	435	1863.522
OV	ワガ	我が		連体詞	和	3.1040	相	関係	真偽	本体・代理	417	1786.411
OV	ケリ	けり		助動詞	和						409	1752.139
OV	イチ	一		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	402	1722.152
OV	ワタクシ	私	代名詞	代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	392	1679.312
OV	ソレ	其れ		代名詞	和	1.1010	体	関係	事柄	こそあど・他	392	1679.312
OV	ヒト	一		名詞-数詞	和	1.1960	体	関係	量	数記号（一二三）	390	1670.744
OV	ツ	つ		接尾辞-名詞的-助数詞	和	1.1962	体	関係	量	助数接辞	388	1662.176
OV	ヌ	ぬ		助動詞	和						386	1653.608
OV	ユキ	雪		名詞-普通名詞-一般	和	1.5153	体	自然	物質	雨・雪	380	1627.904
OV	タチ	達		接尾辞-名詞的-一般	和	1.1951	体	関係	量	群・組・対	376	1610.769
OV	カ	か		助詞-副助詞	和						372	1593.633
OV	フユ	冬		名詞-普通名詞-副詞可能	和	1.1624	体	関係	時間	季節	361	1546.509
OV	ミズ	水		名詞-普通名詞-一般	和	1.5130	体	自然	物質	水・乾湿	358	1533.657
OV	オモウ	思う		動詞-一般	和	2.3061	用	活動	心	思考・意見・疑い	350	1499.386
OV	キミ	君	代名詞	代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	345	1477.966
OV	メ	目		名詞-普通名詞-一般	和	1.5601	体	自然	身体	頭・目鼻・顔	341	1460.83
OV	サ	さ		接尾辞-名詞的-一般	和	1.1920	体	関係	量	程度・限度	340	1456.546
OV	ハル	春		名詞-普通名詞-副詞可能	和	1.1624	体	関係	時間	季節	336	1439.41
OV	ウミ	海		名詞-普通名詞-一般	和	1.5260	体	自然	天地	海・島	335	1435.126
OV	ツツ	つつ		助詞-接続助詞	和						334	1430.842
OV	シロイ	白い		形容詞-一般	和	3.5020	相	自然	自然	色	333	1426.558
OV	ナニ	何		代名詞	和	1.1010	体	関係	事柄	こそあど・他	321	1375.151
OV	イク	行く		動詞-非自立可能	和	2.1527	用	関係	作用	往復	318	1362.299
OV	アキ	秋		名詞-普通名詞-副詞可能	和	1.1624	体	関係	時間	季節	317	1358.015
OV	ハハ	母		名詞-普通名詞-一般	和	1.2120	体	主体	家族	親・先祖	302	1293.756
OV	ソラ	空		名詞-普通名詞-一般	和	1.5200	体	自然	天地	宇宙・空	301	1289.472
OV	コノ	此の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	301	1289.472
OV	ココロ	心		名詞-普通名詞-サ変可能	和	1.3000	体	活動	心	心	298	1276.62
OV	カ	か		助詞-係助詞	和						293	1255.2
OV	コ	子		名詞-普通名詞-一般	和	1.2130	体	主体	家族	子・子孫	291	1246.632
OV	コエ	声		名詞-普通名詞-一般	和	1.3031	体	活動	心	声	290	1242.348
OV	マデ	まで		助詞-副助詞	和						283	1212.361
OV	トキ	時		名詞-普通名詞-副詞可能	和	1.1611	体	関係	時間	時機・時刻	282	1208.077
OV	アメ	雨		名詞-普通名詞-一般	和	1.5153	体	自然	物質	雨・雪	278	1190.941
OV	テ	手		名詞-普通名詞-助数詞可能	和	1.5603	体	自然	身体	手足・指	274	1173.805
OV	ウエ	上		名詞-普通名詞-副詞可能	和	1.1741	体	関係	空間	上下	270	1156.669
OV	モノ	物		名詞-普通名詞-サ変可能	和	1.4000	体	生産物	物品	物品	269	1152.385
OV	クモ	雲		名詞-普通名詞-一般	和	1.5152	体	自然	物質	雲	264	1130.965
OV	ミエル	見える		動詞-一般	和	2.3091	用	活動	心	見る	264	1130.965
OV	ワタシ	私		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	257	1100.978
OV	アオイ	青い		形容詞-一般	和	3.5020	相	自然	自然	色	255	1092.41
OV	ラレル	られる		助動詞	和						251	1075.274
OV	ナツ	夏		名詞-普通名詞-副詞可能	和	1.1624	体	関係	時間	季節	236	1011.015
OV		！		補助記号-句点	記号						236	1011.015
OV	ヒカリ	光		名詞-普通名詞-一般	和	1.5010	体	自然	自然	光	234	1002.447
OV	ナガラ	ながら		助詞-接続助詞	和						233	998.163
OV		「		補助記号-括弧開	記号						232	993.879
OV		」		補助記号-括弧閉	記号						230	985.311
OV	ヒトリ	一人		名詞-普通名詞-副詞可能	和	x.xxxx					230	985.311
OV	ゴトシ	ごとし		助動詞	和						229	981.027
OV	チチ	父		名詞-普通名詞-一般	和	1.2120	体	主体	家族	親・先祖	226	968.175
OV	イツ	何時		代名詞	和	1.1611	体	関係	時間	時機・時刻	225	963.891
OV	シル	知る		動詞-一般	和	2.3062	用	活動	心	注意・認知・了解	224	959.607
OV	ガ	が		助詞-接続助詞	和						222	951.039
OV	タツ	立つ		動詞-一般	和	2.3391	用	活動	生活	立ち居	221	946.755
OV	カゼ	風		名詞-普通名詞-一般	和	3.1302	相	関係	様相	趣・調子	218	933.903
OV	フカイ	深い		形容詞-一般	和	3.1911	相	関係	量	長短・高低・深浅・厚薄・遠近	215	921.051
OV	オリ	折		名詞-普通名詞-副詞可能	和	1.1611	体	関係	時間	時機・時刻	209	895.348
OV	ツキ	月		名詞-普通名詞-助数詞可能	和	1.5210	体	自然	天地	天体	208	891.064
OV	モノ	物		名詞-普通名詞-サ変可能	和	1.1000	体	関係	事柄	事柄	206	882.496
OV	オ	御		接頭辞	和	4.3320	他		挨拶	手紙用語など	204	873.928
OV	セル	せる		助動詞	和						203	869.644
OV	クライ	暗い		形容詞-一般	和	3.5010	相	自然	自然	光	196	839.656
OV	ミチ	道		名詞-普通名詞-一般	和	1.4710	体	生産物	土地利用	道路・橋	196	839.656
OV	カレ	彼		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	193	826.804
OV	カオ	顔		名詞-普通名詞-一般	和	1.5601	体	自然	身体	頭・目鼻・顔	192	822.52
OV	キ	木		名詞-普通名詞-一般	和	1.5400	体	自然	植物	植物	189	809.669
OV	イデル	出でる		動詞-一般	和	2.1210	用	関係	存在	出没	189	809.669
OV	キタル	来たる		動詞-非自立可能	和	2.1527	用	関係	作用	往復	187	801.101
OV	シマウ	仕舞う		動詞-非自立可能	和	2.1503	用	関係	作用	終了・中止・停止	186	796.817
OV	ト	と		助詞-接続助詞	和						185	792.533
OV	ゴトシ	ごとし		助動詞	和	3.1130	相	関係	類	異同・類似	184	788.249
OV	ヤマ	山		名詞-普通名詞-一般	和	1.5240	体	自然	天地	山野	182	779.681
OV	オトコ	男		名詞-普通名詞-一般	和	1.2040	体	主体	人間	男女	180	771.113
OV	シ	死		名詞-普通名詞-一般	漢	1.5702	体	自然	生命	死	174	745.409
OV	ヤ	や		助詞-副助詞	和						174	745.409
OV	オンナ	女		名詞-普通名詞-一般	和	1.2040	体	主体	人間	男女	174	745.409
OV	ナル	成る		動詞-非自立可能	和	2.1220	用	関係	存在	成立	173	741.125
OV	サク	咲く		動詞-一般	和	2.5701	用	自然	生命	生	172	736.841
OV	ショウジョ	少女		名詞-普通名詞-一般	漢	1.2050	体	主体	人間	老少	169	723.989
OV	ベシ	べし		助動詞	和						167	715.421
OV				未知語							166	711.138
OV	シヌ	死ぬ		動詞-一般	和	2.5702	用	自然	生命	死	164	702.57
OV	マス	ます		助動詞	和						164	702.57
OV	ヨイ	良い		形容詞-非自立可能	和	3.1332	相	関係	様相	良不良・適不適	164	702.57
OV	フル	降る		動詞-一般	和	2.1540	用	関係	作用	上がり・下がり	161	689.718
OV	イキル	生きる		動詞-一般	和	2.5701	用	自然	生命	生	161	689.718
OV	マド	窓		名詞-普通名詞-一般	和	1.4440	体	生産物	住居	屋根・柱・壁・窓・天井など	161	689.718
OV	ダレ	誰		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	160	685.434
OV	ガツ	月		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	160	685.434
OV	ネ	音		名詞-普通名詞-一般	和	1.5030	体	自然	自然	音	157	672.582
OV	ドコ	何処		代名詞	和	1.1700	体	関係	空間	空間・場所	156	668.298
OV	ノミ	のみ		助詞-副助詞	和						156	668.298
OV	コトバ	言葉		名詞-普通名詞-一般	和	1.3100	体	活動	言語	言語活動	156	668.298
OV	ミ	身		名詞-普通名詞-一般	和	1.5600	体	自然	身体	身体	156	668.298
OV	ヒ	火		名詞-普通名詞-一般	和	1.5161	体	自然	物質	火	153	655.446
OV	ニ	二		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	152	651.162
OV	ネムル	眠る		動詞-一般	和	2.3003	用	活動	心	飢渇・酔い・疲労・睡眠など	152	651.162
OV	モツ	持つ		動詞-一般	和	2.3701	用	活動	経済	所有	151	646.878
OV	ダケ	だけ		助詞-副助詞	和						151	646.878
OV	カラ	から		助詞-接続助詞	和						150	642.594
OV	タイ	たい		助動詞	和						150	642.594
OV		―		補助記号-一般	記号	x.xxxx					150	642.594
OV	イロ	色		名詞-普通名詞-一般	和	1.5020	体	自然	自然	色	149	638.31
OV	トキ	時		名詞-普通名詞-副詞可能	和	1.1690	体	関係	時間	場合	149	638.31
OV	デス	です		助動詞	和						147	629.742
OV	アサ	朝		名詞-普通名詞-副詞可能	和	1.1635	体	関係	時間	朝晩	147	629.742
OV	ツマ	妻		名詞-普通名詞-一般	和	1.2110	体	主体	家族	夫婦	147	629.742
OV		…		補助記号-一般	記号						144	616.89
OV	シズカ	静か		形状詞-一般	和	3.5030	相	自然	自然	音	143	612.606
OV	タメ	為		名詞-普通名詞-副詞可能	和	1.1113	体	関係	類	理由・目的・証拠	141	604.039
OV		・		補助記号-一般	記号						139	595.471
OV	アカイ	赤い		形容詞-一般	和	3.5020	相	自然	自然	色	137	586.903
OV	トオイ	遠い		形容詞-一般	和	3.1911	相	関係	量	長短・高低・深浅・厚薄・遠近	136	582.619
OV	ヤミ	闇		名詞-普通名詞-一般	和	1.5010	体	自然	自然	光	135	578.335
OV	ママ	侭		名詞-普通名詞-副詞可能	和	1.1130	体	関係	類	異同・類似	134	574.051
OV	イク	幾		名詞-数詞	和	1.1010	体	関係	事柄	こそあど・他	133	569.767
OV	サムイ	寒い		形容詞-一般	和	3.1915	相	関係	量	寒暖	133	569.767
OV	キク	聞く		動詞-一般	和	2.3093	用	活動	心	聞く・味わう	133	569.767
OV	カワ	川		名詞-普通名詞-一般	和	1.5250	体	自然	天地	川・湖	132	565.483
OV	オチル	落ちる		動詞-一般	和	2.1540	用	関係	作用	上がり・下がり	131	561.199
OV	クサ	草		名詞-普通名詞-一般	和	1.5400	体	自然	植物	植物	130	556.915
OV	サン	三		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	125	535.495
OV	ユウベ	夕べ		名詞-普通名詞-一般	和	1.1635	体	関係	時間	朝晩	124	531.211
OV	ショウネン	少年		名詞-普通名詞-一般	漢	1.2050	体	主体	人間	老少	123	526.927
OV	タリ	たり	断定	助動詞	和						123	526.927
OV	トブ	飛ぶ		動詞-一般	和	2.1522	用	関係	作用	走り・飛び・流れなど	123	526.927
OV	イマ	今		名詞-普通名詞-副詞可能	和	3.1641	相	関係	時間	現在	123	526.927
OV	カゲ	影		名詞-普通名詞-一般	和	1.5010	体	自然	自然	光	121	518.359
OV	オレ	俺		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	120	514.075
OV	アナタ	貴方		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	120	514.075
OV	トリ	鳥		名詞-普通名詞-一般	和	1.5502	体	自然	動物	鳥類	119	509.791
OV	セカイ	世界		名詞-普通名詞-一般	漢	1.2600	体	主体	社会	社会・世界	117	501.224
OV	ニテ	にて		助詞-格助詞	和						117	501.224
OV	ヒカル	光る		動詞-一般	和	2.5010	用	自然	自然	光	117	501.224
OV	カレル	枯れる		動詞-一般	和	2.5702	用	自然	生命	死	117	501.224
OV	ソコ	其処		代名詞	和	1.1700	体	関係	空間	空間・場所	116	496.94
OV		（		補助記号-括弧開	記号						116	496.94
OV	ツ	つ		助動詞	和						116	496.94
OV	カミ	髪		名詞-普通名詞-一般	和	1.5605	体	自然	身体	皮・毛髪・羽毛	116	496.94
OV	ド	ど		助詞-接続助詞	和						115	492.656
OV	チ	血		名詞-普通名詞-一般	和	1.5607	体	自然	身体	体液・分泌物	115	492.656
OV	ナク	鳴く		動詞-一般	和	2.3031	用	活動	心	声	114	488.372
OV		）		補助記号-括弧閉	記号						114	488.372
OV	クロイ	黒い		形容詞-一般	和	3.5020	相	自然	自然	色	114	488.372
OV	ジュウ	十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	114	488.372
OV	ワスレル	忘れる		動詞-非自立可能	和	2.3050	用	活動	心	学習・習慣・記憶	113	484.088
OV	カエル	返る		動詞-一般	和	2.1527	用	関係	作用	往復	112	479.804
OV	マチ	街		名詞-普通名詞-一般	和	1.2540	体	主体	公私	都会・田舎	110	471.236
OV	アウ	会う		動詞-一般	和	2.3520	用	活動	交わり	応接・送迎	108	462.668
OV	ナガレル	流れる		動詞-一般	和	2.1522	用	関係	作用	走り・飛び・流れなど	107	458.384
OV	マダ	未だ		副詞	和	3.1670	相	関係	時間	時間的前後	107	458.384
OV	キエル	消える		動詞-一般	和	2.1250	用	関係	存在	消滅	106	454.1
OV	オク	置く		動詞-非自立可能	和	2.1513	用	関係	作用	固定・傾き・転倒など	106	454.1
OV	ヨ	夜		名詞-普通名詞-一般	和	1.1635	体	関係	時間	朝晩	106	454.1
OV	ソシテ	そして		接続詞	和	4.1110	他		接続	累加	104	445.532
OV	トモ	友		名詞-普通名詞-一般	和	1.2210	体	主体	仲間	友・なじみ	104	445.532
OV	コレ	此れ		代名詞	和	1.1010	体	関係	事柄	こそあど・他	103	441.248
OV	スギル	過ぎる		動詞-非自立可能	和	2.1931	用	関係	量	過不足	103	441.248
OV	バカリ	ばかり		助詞-副助詞	和						103	441.248
OV	サル	去る		動詞-非自立可能	和	2.1527	用	関係	作用	往復	103	441.248
OV	ナミ	波		名詞-普通名詞-一般	和	1.1570	体	関係	作用	成形・変形	103	441.248
OV	ウタ	歌		名詞-普通名詞-一般	和	1.3230	体	活動	芸術	音楽	103	441.248
OV	ネ	ね		助詞-終助詞	和						102	436.964
OV	イマ	今		名詞-普通名詞-副詞可能	和	1.1641	体	関係	時間	現在	100	428.396
OV	ココ	此処		代名詞	和	1.1700	体	関係	空間	空間・場所	100	428.396
OV	タカイ	高い		形容詞-一般	和	3.1911	相	関係	量	長短・高低・深浅・厚薄・遠近	100	428.396
OV	ワタル	渡る		動詞-非自立可能	和	2.1521	用	関係	作用	移動・発着	99	424.112
OV	ウツクシイ	美しい		形容詞-一般	和	3.1345	相	関係	様相	美醜	98	419.828
OV	ハ	葉		名詞-普通名詞-一般	和	1.5410	体	自然	植物	枝・葉・花・実	98	419.828
OV	ゴ	五		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	98	419.828
OV	ドウ	どう		副詞	和	3.1010	相	関係	真偽	こそあど・他	98	419.828
OV	ハシル	走る		動詞-一般	和	2.1522	用	関係	作用	走り・飛び・流れなど	98	419.828
OV	イエ	家		名詞-普通名詞-一般	和	1.4400	体	生産物	住居	住居	97	415.544
OV	ネン	年		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	97	415.544
OV	ニオウ	匂う		動詞-一般	和	x.xxxx					97	415.544
OV	ゾ	ぞ		助詞-係助詞	和						96	411.26
OV	ウツ	打つ		動詞-一般	和	2.1561	用	関係	作用	当たり・打ちなど	96	411.26
OV	セ	背		名詞-普通名詞-一般	和	1.5602	体	自然	身体	胸・背・腹	96	411.26
OV	ユビ	指		名詞-普通名詞-一般	和	1.5603	体	自然	身体	手足・指	96	411.26
OV	ナ	な		助詞-終助詞	和						95	406.976
OV	アイ	愛		名詞-普通名詞-一般	漢	1.3020	体	活動	心	好悪・愛憎	95	406.976
OV	ホシ	星		名詞-普通名詞-一般	和	1.5210	体	自然	天地	天体	95	406.976
OV		？		補助記号-句点	記号						95	406.976
OV	キリ	霧		名詞-普通名詞-一般	和	1.5152	体	自然	物質	雲	95	406.976
OV	フネ	船		名詞-普通名詞-一般	和	1.4660	体	生産物	機械	乗り物（海上）	95	406.976
OV	ハカ	墓		名詞-普通名詞-一般	和	1.4700	体	生産物	土地利用	地類（土地利用）	94	402.693
OV	モノ	物		名詞-普通名詞-サ変可能	和	1.2000	体	主体	人間	人間	94	402.693
OV	マツ	待つ		動詞-一般	和	2.3520	用	活動	交わり	応接・送迎	94	402.693
OV	アルク	歩く		動詞-一般	和	2.1522	用	関係	作用	走り・飛び・流れなど	94	402.693
OV	クレル	呉れる		動詞-非自立可能	和	2.3770	用	活動	経済	授受	93	398.409
OV	オト	音		名詞-普通名詞-一般	和	1.5030	体	自然	自然	音	93	398.409
OV	サ	さ		接尾辞-名詞的-一般	和						92	394.125
OV	ヒル	昼		名詞-普通名詞-副詞可能	和	1.1635	体	関係	時間	朝晩	92	394.125
OV	モツ	持つ		動詞-一般	和	2.3392	用	活動	生活	手足の動作	91	389.841
OV	アト	後		名詞-普通名詞-副詞可能	和	1.1670	体	関係	時間	時間的前後	91	389.841
OV	ハジメル	始める		動詞-非自立可能	和	2.1502	用	関係	作用	開始	91	389.841
OV	ノボル	上る		動詞-一般	和	2.1540	用	関係	作用	上がり・下がり	91	389.841
OV	ノ	野		名詞-普通名詞-一般	和	1.1720	体	関係	空間	範囲・席・跡	90	385.557
OV	オマエ	御前		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	90	385.557
OV	カク	書く		動詞-一般	和	2.3151	用	活動	言語	書き	90	385.557
OV	ヒ	灯		名詞-普通名詞-一般	和	1.4600	体	生産物	機械	灯火	90	385.557
OV	ニオイ	匂い		名詞-普通名詞-一般	和	1.5040	体	自然	自然	におい	90	385.557
OV	カゲ	陰		名詞-普通名詞-一般	和	1.1771	体	関係	空間	奥・底・陰	89	381.273
OV	ユメ	夢		名詞-普通名詞-一般	和	1.3003	体	活動	心	飢渇・酔い・疲労・睡眠など	89	381.273
OV	イル	入る		動詞-一般	和	2.1532	用	関係	作用	入り・入れ	89	381.273
OV	セミ	蝉		名詞-普通名詞-一般	和	x.xxxx					87	372.705
OV	スル	為る		動詞-非自立可能	和	2.1211	用	関係	存在	発生・復活	87	372.705
OV	サン	さん		接尾辞-名詞的-一般	和	1.2000	体	主体	人間	人間	86	368.421
OV	クチ	口		名詞-普通名詞-一般	和	1.5601	体	自然	身体	頭・目鼻・顔	86	368.421
OV	イシ	石		名詞-普通名詞-一般	和	1.5111	体	自然	物質	鉱物	85	364.137
OV		〉		補助記号-括弧閉	記号						85	364.137
OV	タビ	旅		名詞-普通名詞-サ変可能	和	1.3371	体	活動	生活	旅・行楽	85	364.137
OV	ヨウ	様		形状詞-助動詞語幹	漢	3.1300					85	364.137
OV	アシ	足		名詞-普通名詞-一般	和	1.5603	体	自然	身体	手足・指	85	364.137
OV	マエ	前		名詞-普通名詞-副詞可能	和	1.1740	体	関係	空間	左右・前後・たてよこ	85	364.137
OV		〈		補助記号-括弧開	記号						85	364.137
OV	ジブン	自分		名詞-普通名詞-一般	漢	1.2020	体	主体	人間	自他	84	359.853
OV	ムカウ	向かう		動詞-一般	和	2.1730	用	関係	空間	方向・方角	84	359.853
OV	テノヒラ	掌		名詞-普通名詞-一般	和	1.5603	体	自然	身体	手足・指	84	359.853
OV	アノ	彼の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	84	359.853
OV	ヤク	焼く		動詞-一般	和	2.3842	用	活動	事業	炊事・調理	83	355.569
OV	ヘヤ	部屋		名詞-普通名詞-一般	和	1.4430	体	生産物	住居	部屋・床・廊下・階段など	83	355.569
OV	ツチ	土		名詞-普通名詞-一般	和	1.5111	体	自然	物質	鉱物	83	355.569
OV	ムネ	胸		名詞-普通名詞-一般	和	1.3000	体	活動	心	心	83	355.569
OV	ヌレル	濡れる		動詞-一般	和	2.5130	用	自然	物質	水・乾湿	83	355.569
OV	ミドリ	緑		名詞-普通名詞-一般	和	1.5020	体	自然	自然	色	83	355.569
OV	シズム	沈む		動詞-一般	和	2.1541	用	関係	作用	乗り降り・浮き沈み	83	355.569
OV	サビシイ	寂しい		形容詞-一般	和	3.3014	相	活動	心	苦悩・悲哀	82	351.285
OV	サカナ	魚		名詞-普通名詞-一般	和	1.5504	体	自然	動物	魚類	82	351.285
OV	イキ	息		名詞-普通名詞-一般	和	1.5710	体	自然	生命	生理	81	347.001
OV				カタカナ文		1.4630	体	生産物	機械	機械・装置	81	347.001
OV	ヒラク	開く		動詞-一般	和	2.1553	用	関係	作用	開閉・封	80	342.717
OV	イル	炒る		動詞-一般	和	2.3842	用	活動	事業	炊事・調理	80	342.717
OV	イヌ	犬		名詞-普通名詞-一般	和	1.5501	体	自然	動物	哺乳類	80	342.717
OV	ニチ	日		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	80	342.717
OV	ナド	など		助詞-副助詞	和						80	342.717
OV	カン	寒		名詞-普通名詞-一般	漢	1.5150	体	自然	物質	気象	79	338.433
OV	マタ	又		接続詞	和	4.1110	他		接続	累加	79	338.433
OV	クレル	暮れる		動詞-一般	和	2.1635	用	関係	時間	朝晩	79	338.433
OV	ウマ	馬		名詞-普通名詞-一般	和	1.5501	体	自然	動物	哺乳類	79	338.433
OV	ヤル	遣る		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	78	334.149
OV	オモイ	重い		形容詞-一般	和	3.1914	相	関係	量	軽重	78	334.149
OV	ユメ	夢		名詞-普通名詞-一般	和	1.3042	体	活動	心	欲望・期待・失望	78	334.149
OV	テキ	的		接尾辞-形状詞的	漢	3.1130	相	関係	類	異同・類似	78	334.149
OV	ウゴク	動く		動詞-一般	和	2.1510	用	関係	作用	動き	78	334.149
OV	チョウ	蝶		名詞-普通名詞-一般	漢	x.xxxx					77	329.865
OV	ミミ	耳		名詞-普通名詞-一般	和	1.5601	体	自然	身体	頭・目鼻・顔	77	329.865
OV	ナガイ	長い		形容詞-一般	和	3.1911	相	関係	量	長短・高低・深浅・厚薄・遠近	77	329.865
OV	ナガイ	長い		形容詞-一般	和	3.1600	相	関係	時間	時間	77	329.865
OV	カミ	神		名詞-普通名詞-一般	和	1.2030	体	主体	人間	神仏・精霊	77	329.865
OV	フム	踏む		動詞-一般	和	2.3392	用	活動	生活	手足の動作	77	329.865
OV	ホド	ほど		助詞-副助詞	和						76	325.581
OV	オル	居る		動詞-非自立可能	和	2.1200	用	関係	存在	存在	76	325.581
OV	タリ	たり		助詞-副助詞	和						76	325.581
OV	アセ	汗		名詞-普通名詞-一般	和	1.5607	体	自然	身体	体液・分泌物	76	325.581
OV	ヤム	病む		動詞-一般	和	x.xxxx					75	321.297
OV	シャ	者		接尾辞-名詞的-一般	漢	1.2000	体	主体	人間	人間	75	321.297
OV	ニル	似る		動詞-一般	和	2.1130	用	関係	類	異同・類似	75	321.297
OV	ナミダ	涙		名詞-普通名詞-サ変可能	和	1.5607	体	自然	身体	体液・分泌物	75	321.297
OV	アユム	歩む		動詞-一般	和	2.1522	用	関係	作用	走り・飛び・流れなど	75	321.297
OV	トコロ	所		名詞-普通名詞-副詞可能	和	1.1700	体	関係	空間	空間・場所	75	321.297
OV	コイ	恋		名詞-普通名詞-サ変可能	和	1.3020	体	活動	心	好悪・愛憎	75	321.297
OV	ワカイ	若い		形容詞-一般	和	3.1660	相	関係	時間	新旧・遅速	74	317.013
OV	フウ	風		名詞-普通名詞-形状詞可能	漢	3.1302	相	関係	様相	趣・調子	74	317.013
OV	モエル	燃える		動詞-一般	和	2.5161	用	自然	物質	火	73	312.729
OV	ツユ	梅雨		名詞-普通名詞-一般	和	x.xxxx					73	312.729
OV	ヨン	四		名詞-数詞	和	1.1960	体	関係	量	数記号（一二三）	73	312.729
OV	モト	下		名詞-普通名詞-副詞可能	和	1.1741	体	関係	空間	上下	73	312.729
