register	UniDic:lForm	UniDic:lemma	UniDic:pos	UniDic:subLemma	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OC	オモウ	思う	動詞-一般		和	2.3061	用	活動	心	思考・意見・疑い	57103	4751.215
OC		」	補助記号-括弧閉		記号						55063	4581.478
OC		「	補助記号-括弧開		記号						55048	4580.23
OC	ヨイ	良い	形容詞-非自立可能		和	3.1332	相	関係	様相	良不良・適不適	53188	4425.47
OC	レル	れる	助動詞		和						51976	4324.626
OC	オ	御	接頭辞		和	4.3320	他		挨拶	手紙用語など	48639	4046.974
OC	テル	てる	助動詞		和						48308	4019.433
OC		）	補助記号-括弧閉		記号						45489	3784.88
OC		（	補助記号-括弧開		記号						45414	3778.64
OC		！	補助記号-句点		記号						45267	3766.409
OC	ヨ	よ	助詞-終助詞		和						44607	3711.494
OC	ネ	ね	助詞-終助詞		和						42819	3562.725
OC	カラ	から	助詞-格助詞		和						38444	3198.706
OC	バ	ば	助詞-接続助詞		和						35228	2931.121
OC	ッテ	って	助詞-副助詞		和						33654	2800.157
OC	ナル	成る	動詞-非自立可能		和	2.1500	用	関係	作用	作用・変化	33377	2777.11
OC	クダサル	下さる	動詞-非自立可能		和	2.3770	用	活動	経済	授受	33294	2770.204
OC	ト	と	助詞-接続助詞		和						31972	2660.208
OC	イチ	一	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	31540	2624.264
OC	ワタクシ	私	代名詞	代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	31247	2599.885
OC	ヒト	人	名詞-普通名詞-一般		和	1.2000	体	主体	人間	人間	29675	2469.088
OC	ヨウ	様	形状詞-助動詞語幹		漢	3.1300					29355	2442.462
OC	ナニ	何	代名詞		和	1.1010	体	関係	事柄	こそあど・他	28701	2388.047
OC	ソノ	其の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	27516	2289.45
OC	ドウ	どう	副詞		和	3.1010	相	関係	真偽	こそあど・他	25735	2141.263
OC	カラ	から	助詞-接続助詞		和						24484	2037.174
OC		．	補助記号-句点		記号						24396	2029.852
OC	ホウ	方	名詞-普通名詞-一般		漢	1.1010	体	関係	事柄	こそあど・他	23169	1927.761
OC	ナル	成る	動詞-非自立可能		和	2.1220	用	関係	存在	成立	21804	1814.187
OC	クル	来る	動詞-非自立可能		和	2.1527	用	関係	作用	往復	21617	1798.627
OC	サン	さん	接尾辞-名詞的-一般		和	1.2000	体	主体	人間	人間	21595	1796.797
OC	ソレ	其れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	21303	1772.501
OC	デキル	出来る	動詞-非自立可能		和	2.1220	用	関係	存在	成立	20693	1721.747
OC	ヤ	や	助詞-副助詞		和						20383	1695.953
OC	タイ	たい	助動詞		和						19934	1658.595
OC	ナド	など	助詞-副助詞		和						19782	1645.948
OC	ニ	二	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	19291	1605.094
OC	ミル	見る	動詞-非自立可能		和	2.3091	用	活動	心	見る	19069	1586.623
OC	モノ	物	名詞-普通名詞-サ変可能		和	1.4000	体	生産物	物品	物品	18528	1541.609
OC	オシエル	教える	動詞-一般		和	2.3123	用	活動	言語	伝達・報知	17405	1448.171
OC	ワカル	分かる	動詞-一般		和	2.3062	用	活動	心	注意・認知・了解	16568	1378.529
OC	シマウ	仕舞う	動詞-非自立可能		和	2.1503	用	関係	作用	終了・中止・停止	16285	1354.982
OC	シャ	者	接尾辞-名詞的-一般		漢	1.2000	体	主体	人間	人間	15980	1329.605
OC	ケレド	けれど	助詞-接続助詞		和						15814	1315.793
OC	ツカウ	使う	動詞-一般		和	2.3852	用	活動	事業	扱い・操作・使用	15623	1299.901
OC	ジブン	自分	名詞-普通名詞-一般		漢	1.2020	体	主体	人間	自他	15622	1299.818
OC		〜	補助記号-一般		記号						15421	1283.094
OC	マデ	まで	助詞-副助詞		和						15399	1281.263
OC	クライ	くらい	助詞-副助詞		和						15343	1276.604
OC	イク	行く	動詞-非自立可能		和	2.1527	用	関係	作用	往復	15010	1248.897
OC	サン	三	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	14852	1235.751
OC	シ	し	助詞-接続助詞		和						14668	1220.441
OC	ダケ	だけ	助詞-副助詞		和						14637	1217.862
OC	バアイ	場合	名詞-普通名詞-副詞可能		和	1.1690	体	関係	時間	場合	14162	1178.34
OC	テキ	的	接尾辞-形状詞的		漢	3.1130	相	関係	類	異同・類似	13814	1149.384
OC	タリ	たり	助詞-副助詞		和						13581	1129.998
OC	ナ	な	助詞-終助詞		和						13480	1121.594
OC	ジュウ	十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	13221	1100.044
OC	コノ	此の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	13068	1087.314
OC	トキ	時	名詞-普通名詞-副詞可能		和	1.1690	体	関係	時間	場合	13028	1083.986
OC	シツモン	質問	名詞-普通名詞-サ変可能		漢	1.3132	体	活動	言語	問答	12951	1077.579
OC	ヤル	遣る	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	12008	999.118
OC	コレ	此れ	代名詞		和	1.1010	体	関係	事柄	こそあど・他	11851	986.054
OC	ゴ	五	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	11704	973.823
OC	ラレル	られる	助動詞		和						11398	948.363
OC			未知語								10679	888.539
OC	イマ	今	名詞-普通名詞-副詞可能		和	1.1641	体	関係	時間	現在	10551	877.889
OC	イク	行く	動詞-非自立可能		和	2.3430	用	活動	行為	行為・活動	10334	859.834
OC	ネン	年	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	10249	852.761
OC	エン	円	名詞-普通名詞-助数詞可能	助数詞	漢	1.1962	体	関係	量	助数接辞	10049	836.12
OC	ソウ	そう	副詞		和	3.1010	相	関係	真偽	こそあど・他	10007	832.626
OC	ミル	見る	動詞-非自立可能		和	2.3065	用	活動	心	研究・試験・調査・検査など	10003	832.293
OC	アナタ	貴方	代名詞		和	1.2010	体	主体	人間	われ・なれ・かれ	9664	804.087
OC	モラウ	貰う	動詞-非自立可能		和	2.3770	用	活動	経済	授受	9445	785.865
OC	キ	気	名詞-普通名詞-一般		漢	1.3001	体	活動	心	感覚	9317	775.215
OC	デキル	出来る	動詞-非自立可能		和	2.3421	用	活動	行為	才能	9244	769.141
OC	ニッポン	日本	名詞-固有名詞-地名-国		固	1.2590	体	主体	公私	固有地名	9227	767.726
OC	クレル	呉れる	動詞-非自立可能		和	2.3770	用	活動	経済	授受	9118	758.657
OC	セル	せる	助動詞		和						9010	749.671
OC	オオイ	多い	形容詞-一般		和	3.1910	相	関係	量	多少	8992	748.173
OC	カンガエル	考える	動詞-一般		和	2.3061	用	活動	心	思考・意見・疑い	8985	747.591
OC	ヨン	四	名詞-数詞		和	1.1960	体	関係	量	数記号（一二三）	8939	743.764
OC	アト	後	名詞-普通名詞-副詞可能		和	1.1670	体	関係	時間	時間的前後	8740	727.206
OC	ニジュウ	二十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	8629	717.97
OC	ゴ	御	接頭辞		漢	4.3320	他		挨拶	手紙用語など	8622	717.388
OC	メール	メール	名詞-普通名詞-サ変可能	mail	外	1.3122	体	活動	言語	通信	8521	708.984
OC	マタ	又	接続詞		和	4.1110	他		接続	累加	8437	701.995
OC		…	補助記号-一般		記号						8428	701.246
OC	ヨリ	より	助詞-格助詞		和						8328	692.926
OC	トキ	時	名詞-普通名詞-副詞可能		和	1.1611	体	関係	時間	時機・時刻	8090	673.123
OC	ネガウ	願う	動詞-非自立可能		和	2.3042	用	活動	心	欲望・期待・失望	8087	672.874
OC	イレル	入れる	動詞-一般		和	2.1532	用	関係	作用	入り・入れ	7817	650.408
OC	ハイル	入る	動詞-一般		和	2.1532	用	関係	作用	入り・入れ	7707	641.256
OC	カウ	買う	動詞-一般		和	2.3761	用	活動	経済	売買	7679	638.926
OC	ヨル	因る	動詞-一般		和	2.1112	用	関係	類	因果	7636	635.348
OC	デル	出る	動詞-一般		和	2.1531	用	関係	作用	出・出し	7600	632.353
OC	マエ	前	名詞-普通名詞-副詞可能		和	1.1670	体	関係	時間	時間的前後	7593	631.771
OC	シル	知る	動詞-一般		和	2.3062	用	活動	心	注意・認知・了解	7486	622.868
OC	サイ	歳	接尾辞-名詞的-助数詞		漢	1.1962	体	関係	量	助数接辞	7448	619.706
OC	キク	聞く	動詞-一般		和	2.3093	用	活動	心	聞く・味わう	7366	612.883
OC	モノ	物	名詞-普通名詞-サ変可能		和	1.1000	体	関係	事柄	事柄	7325	609.472
OC	カイシャ	会社	名詞-普通名詞-一般		漢	1.2640	体	主体	社会	事務所・市場・駅など	6996	582.098
OC	スキ	好き	形状詞-一般		和	3.3020	相	活動	心	好悪・愛憎	6921	575.857
OC	オナジ	同じ	連体詞		和	3.1130	相	関係	類	異同・類似	6909	574.859
OC	シュッピン	出品	名詞-普通名詞-サ変可能		漢	1.3092	体	活動	心	見せる	6869	571.531
OC	カク	書く	動詞-一般		和	2.3151	用	活動	言語	書き	6836	568.785
OC	タメ	為	名詞-普通名詞-副詞可能		和	1.1113	体	関係	類	理由・目的・証拠	6737	560.548
OC	ミナ	皆	名詞-普通名詞-副詞可能		和	1.2010	体	主体	人間	われ・なれ・かれ	6701	557.552
OC	ホウホウ	方法	名詞-普通名詞-一般		漢	1.3081	体	活動	心	方法	6606	549.648
OC	オク	置く	動詞-非自立可能		和	2.1513	用	関係	作用	固定・傾き・転倒など	6577	547.235
OC	ミタイ	みたい	形状詞-助動詞語幹		和	3.1130	相	関係	類	異同・類似	6571	546.736
OC	チガウ	違う	動詞-一般		和	2.1130	用	関係	類	異同・類似	6561	545.904
OC	ド	度	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	6480	539.164
OC	シレル	知れる	動詞-一般		和	2.3062	用	活動	心	注意・認知・了解	6415	533.756
OC	ホントウ	本当	名詞-普通名詞-一般		漢	1.1030	体	関係	事柄	真偽・是非	6406	533.007
OC	ラクサツ	落札	名詞-普通名詞-サ変可能		漢	1.3761	体	活動	経済	売買	6384	531.177
OC	ワルイ	悪い	形容詞-一般		和	3.1332	相	関係	様相	良不良・適不適	6383	531.093
OC	ドコ	何処	代名詞		和	1.1700	体	関係	空間	空間・場所	6273	521.941
OC	カレ	彼	代名詞		和	1.2010	体	主体	人間	われ・なれ・かれ	6042	502.721
OC	カイトウ	回答	名詞-普通名詞-サ変可能		漢	1.3132	体	活動	言語	問答	6037	502.305
OC	サンジュウ	三十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	6034	502.055
OC	タベル	食べる	動詞-一般		和	2.3331	用	活動	生活	食生活	5961	495.981
OC	アイテ	相手	名詞-普通名詞-一般		和	1.2200	体	主体	仲間	相手・仲間	5957	495.648
OC	ジョセイ	女性	名詞-普通名詞-一般		漢	1.2040	体	主体	人間	男女	5881	489.325
OC	ジカン	時間	名詞-普通名詞-助数詞可能		漢	1.1600	体	関係	時間	時間	5863	487.827
OC	ロク	六	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	5792	481.92
OC	ハチ	八	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	5754	478.758
OC	シカ	しか	助詞-副助詞		和						5734	477.094
OC	マン	万	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	5711	475.18
OC	コドモ	子供	名詞-普通名詞-一般		和	1.2050	体	主体	人間	老少	5691	473.516
OC	トコロ	所	名詞-普通名詞-副詞可能		和	1.1690	体	関係	時間	場合	5684	472.934
OC	ドノ	何の	連体詞		和	3.1010	相	関係	真偽	こそあど・他	5681	472.684
OC	デル	出る	動詞-一般		和	2.1211	用	関係	存在	発生・復活	5640	469.273
OC	ヒャク	百	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	5614	467.109
OC	ヘ	へ	助詞-格助詞		和						5545	461.368
OC	キク	聞く	動詞-一般		和	2.3132	用	活動	言語	問答	5446	453.131
OC	コ	子	名詞-普通名詞-一般		和	1.2130	体	主体	家族	子・子孫	5420	450.968
OC		，	補助記号-読点		記号						5404	449.636
OC	エー	Ａ	記号-文字		記号						5400	449.304
OC	ナル	成る	動詞-非自立可能		和	2.1112	用	関係	類	因果	5332	443.646
OC	モンダイ	問題	名詞-普通名詞-一般		漢	1.3070	体	活動	心	意味・問題・趣旨など	5280	439.319
OC	ジン	人	接尾辞-名詞的-一般		漢	1.2000	体	主体	人間	人間	5243	436.241
OC	シゴト	仕事	名詞-普通名詞-サ変可能		和	1.3320	体	活動	生活	労働・作業・休暇	5236	435.658
OC	ヒ	日	名詞-普通名詞-副詞可能		和	1.1633	体	関係	時間	日	5172	430.333
OC	レイ	零	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	5157	429.085
OC	イマ	今	名詞-普通名詞-副詞可能		和	3.1641	相	関係	時間	現在	5135	427.254
OC		‐	補助記号-一般		記号						5135	427.254
OC	ナカ	中	名詞-普通名詞-副詞可能		和	1.1770	体	関係	空間	内外	5110	425.174
OC	イツ	何時	代名詞		和	1.1611	体	関係	時間	時機・時刻	5069	421.763
OC	ヤハリ	矢張り	副詞		和	4.3120	他		判断	予期	5065	421.43
OC	ツ	つ	接尾辞-名詞的-助数詞		和	1.1962	体	関係	量	助数接辞	5043	419.6
OC	フツウ	普通	名詞-普通名詞-形状詞可能		漢	1.1331	体	関係	様相	特徴	5037	419.1
OC	ダス	出す	動詞-非自立可能		和	2.1531	用	関係	作用	出・出し	5017	417.436
OC	ヨウ	様	形状詞-助動詞語幹		漢	3.1130	相	関係	類	異同・類似	5006	416.521
OC	イミ	意味	名詞-普通名詞-サ変可能		漢	1.3070	体	活動	心	意味・問題・趣旨など	5003	416.272
OC	カノウ	可能	形状詞-一般		漢	3.1346	相	関係	様相	難易・安危	4987	414.94
OC	カイ	回	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	4951	411.945
OC	ホウ	方	名詞-普通名詞-一般		漢	1.2000	体	主体	人間	人間	4938	410.863
OC	ケッコン	結婚	名詞-普通名詞-サ変可能		漢	1.3350	体	活動	生活	冠婚	4927	409.948
OC	イタダク	頂く	動詞-非自立可能		和	2.3770	用	活動	経済	授受	4911	408.617
OC		：	補助記号-一般		記号						4892	407.036
OC	トウ	等	接尾辞-名詞的-一般		漢	1.1951	体	関係	量	群・組・対	4882	406.204
OC	カンジ	感じ	名詞-普通名詞-一般		混	1.3001	体	活動	心	感覚	4804	399.714
OC	ツウ	つう	助動詞		和						4765	396.469
OC	スコシ	少し	副詞		和	3.1920	相	関係	量	程度	4751	395.304
OC	カタ	方	接尾辞-名詞的-一般		和	1.3081	体	活動	心	方法	4729	393.474
OC	カゲツ	箇月	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	4690	390.229
OC	ナナ	七	名詞-数詞		和	1.1960	体	関係	量	数記号（一二三）	4682	389.563
OC	ドチラ	何方	代名詞		和	1.1010	体	関係	事柄	こそあど・他	4680	389.397
OC	サ	さ	接尾辞-名詞的-一般		和	1.1920	体	関係	量	程度・限度	4670	388.565
OC	ガツ	月	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	4663	387.982
OC	ダレ	誰	代名詞		和	1.2010	体	主体	人間	われ・なれ・かれ	4662	387.899
OC	トコロ	所	名詞-普通名詞-副詞可能		和	1.1700	体	関係	空間	空間・場所	4639	385.985
OC	アマリ	余り	副詞		和	3.1920	相	関係	量	程度	4598	382.574
OC	ツク	つく	動詞-一般		和	2.3311	用	活動	生活	処世・出処進退	4594	382.241
OC	イチバン	一番	副詞		漢	3.1920	相	関係	量	程度	4584	381.409
OC	ママ	侭	名詞-普通名詞-副詞可能		和	1.1130	体	関係	類	異同・類似	4556	379.079
OC	トモダチ	友達	名詞-普通名詞-一般		和	1.2210	体	主体	仲間	友・なじみ	4536	377.415
OC	チナミ	因み	名詞-普通名詞-一般		和	1.1112	体	関係	類	因果	4534	377.249
OC	ハナシ	話	名詞-普通名詞-サ変可能		和	1.3131	体	活動	言語	話・談話	4532	377.082
OC	モツ	持つ	動詞-一般		和	2.3701	用	活動	経済	所有	4527	376.666
OC	ソンナ	そんな	連体詞		和	3.1010	相	関係	真偽	こそあど・他	4508	375.085
OC		『	補助記号-括弧開		記号						4477	372.506
OC		』	補助記号-括弧閉		記号						4469	371.84
OC	ホシイ	欲しい	形容詞-非自立可能		和	3.3042	相	活動	心	欲望・期待・失望	4446	369.927
OC	ホカ	他	名詞-普通名詞-副詞可能		和	1.1040	体	関係	事柄	本体・代理	4432	368.762
OC	ナンテ	なんて	助詞-副助詞		和						4396	365.767
OC	セイ	性	接尾辞-名詞的-一般		漢	1.1330	体	関係	様相	性質	4382	364.602
OC	ドンナ	どんな	連体詞		和	3.1010	相	関係	真偽	こそあど・他	4377	364.186
OC	カンケイ	関係	名詞-普通名詞-サ変可能		漢	1.1110	体	関係	類	関係	4347	361.69
OC	ツケル	付ける	動詞-非自立可能		和	2.1560	用	関係	作用	接近・接触・隔離	4230	351.955
OC	イジョウ	以上	名詞-普通名詞-副詞可能		漢	1.1920	体	関係	量	程度・限度	4221	351.206
OC	マダ	未だ	副詞		和	3.1670	相	関係	時間	時間的前後	4199	349.375
OC	モウ	もう	副詞		和	3.1920	相	関係	量	程度	4192	348.793
OC	ナゼ	何故	副詞		和	4.1180	他		接続	理由	4189	348.543
OC	サイト	サイト	名詞-普通名詞-一般	site	外	1.1700	体	関係	空間	空間・場所	4151	345.381
OC	キュウ	九	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	4106	341.637
OC	ホド	ほど	助詞-副助詞		和						4101	341.221
OC		○	補助記号-一般		記号						4089	340.223
OC	モシ	若し	副詞		和	4.3140	他		判断	仮定	4052	337.144
OC	タカイ	高い	形容詞-一般		和	3.1911	相	関係	量	長短・高低・深浅・厚薄・遠近	4048	336.811
OC	オトコ	男	名詞-普通名詞-一般		和	1.2040	体	主体	人間	男女	4047	336.728
OC	スグ	直ぐ	副詞		和	3.1671	相	関係	時間	即時	4012	333.816
OC	キモチ	気持ち	名詞-普通名詞-一般		混	1.3010	体	活動	心	感情・気分	4008	333.483
OC	ノ	の	助詞-終助詞		和						3947	328.408
OC	ススメル	勧める	動詞-一般		和	2.3670	用	活動	待遇	命令・制約・服従	3936	327.493
OC	ニチ	日	名詞-普通名詞-助数詞可能		漢	1.1962	体	関係	量	助数接辞	3914	325.662
OC	サマ	様	接尾辞-名詞的-一般		和	1.2000	体	主体	人間	人間	3899	324.414
OC	クルマ	車	名詞-普通名詞-一般		和	1.4650	体	生産物	機械	乗り物（陸上）	3896	324.164
OC	ヒョウカ	評価	名詞-普通名詞-サ変可能		漢	1.3066	体	活動	心	判断・推測・評価	3896	324.164
OC		→	補助記号-一般		記号						3851	320.42
OC	カノジョ	彼女	代名詞		混	1.2010	体	主体	人間	われ・なれ・かれ	3833	318.923
OC	チュウ	中	接尾辞-名詞的-副詞可能		漢	1.1652	体	関係	時間	途中・盛り	3824	318.174
OC	ヒツヨウ	必要	名詞-普通名詞-形状詞可能		漢	3.3710	相	活動	経済	経済・収支	3755	312.433
OC		♪	補助記号-一般		記号						3754	312.349
OC	ヤスイ	易い	接尾辞-形容詞的		和	3.1346	相	関係	様相	難易・安危	3739	311.101
OC	ショウヒン	商品	名詞-普通名詞-一般		漢	1.4010	体	生産物	物品	持ち物・売り物・土産など	3735	310.768
OC	カネ	金	名詞-普通名詞-一般		和	1.4040	体	生産物	物品	貨幣・切符・証券	3731	310.436
OC	ヤフー	ヤフー	名詞-固有名詞-一般		固	1.2640	体	主体	社会	事務所・市場・駅など	3696	307.524
OC	ノム	飲む	動詞-一般		和	2.3331	用	活動	生活	食生活	3692	307.191
OC	タチ	達	接尾辞-名詞的-一般		和	1.1951	体	関係	量	群・組・対	3689	306.941
OC	ダンセイ	男性	名詞-普通名詞-一般		漢	1.2040	体	主体	人間	男女	3682	306.359
OC	シヨウ	使用	名詞-普通名詞-サ変可能		漢	1.3852	体	活動	事業	扱い・操作・使用	3657	304.279
OC	ゴジュウ	五十	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	3650	303.696
OC	ソウ	そう	名詞-助動詞語幹	伝聞	和	3.3092					3647	303.447
OC	ウエ	上	名詞-普通名詞-副詞可能		和	1.1741	体	関係	空間	上下	3635	302.448
OC	カナリ	可成	副詞		混	3.1920	相	関係	量	程度	3536	294.211
OC	ソコ	其処	代名詞		和	1.1700	体	関係	空間	空間・場所	3525	293.296
OC	ゴ	後	接尾辞-名詞的-副詞可能		漢	1.1670	体	関係	時間	時間的前後	3523	293.129
OC	サクジョ	削除	名詞-普通名詞-サ変可能		漢	x.xxxx					3512	292.214
OC	デンワ	電話	名詞-普通名詞-サ変可能		漢	1.3122	体	活動	言語	通信	3511	292.131
OC	チャウ	ちゃう	助動詞		和						3500	291.215
OC	チョット	一寸	副詞		和	3.1920	相	関係	量	程度	3487	290.134
OC	ジョウタイ	状態	名詞-普通名詞-一般		漢	1.1300	体	関係	様相	様相・情勢	3486	290.051
OC	テイド	程度	名詞-普通名詞-一般		漢	1.1920	体	関係	量	程度・限度	3462	288.054
OC	ヤスイ	安い	形容詞-一般		和	3.3710	相	活動	経済	経済・収支	3455	287.471
OC			URL								3452	287.222
OC	コウニュウ	購入	名詞-普通名詞-サ変可能		漢	1.3761	体	活動	経済	売買	3443	286.473
OC	セン	千	名詞-数詞		漢	1.1960	体	関係	量	数記号（一二三）	3441	286.306
OC	パソコン	パソコン	名詞-普通名詞-一般	personal computer	外	1.4620	体	生産物	機械	電気器具・部品	3437	285.974
OC	オオキイ	大きい	形容詞-一般		和	3.1912	相	関係	量	広狭・大小	3433	285.641
OC	イエ	家	名詞-普通名詞-一般		和	1.4400	体	生産物	住居	住居	3418	284.393
OC	カ	日	接尾辞-名詞的-助数詞		和	1.1962	体	関係	量	助数接辞	3411	283.81
OC	ホケン	保険	名詞-普通名詞-一般		漢	1.3710	体	活動	経済	経済・収支	3395	282.479
OC		＝	補助記号-一般		記号						3369	280.316
OC	カワル	変わる	動詞-一般		和	2.1500	用	関係	作用	作用・変化	3369	280.316
OC	モツ	持つ	動詞-一般		和	2.3392	用	活動	生活	手足の動作	3366	280.066
OC	ヨウ	用	接尾辞-名詞的-一般		漢	1.1113	体	関係	類	理由・目的・証拠	3352	278.901
OC	トテモ	迚も	副詞		和	3.1920	相	関係	量	程度	3336	277.57
OC	コンナ	こんな	連体詞		和	3.1010	相	関係	真偽	こそあど・他	3310	275.407
OC	イガイ	以外	名詞-普通名詞-副詞可能		漢	1.1920	体	関係	量	程度・限度	3305	274.991
OC	コドモ	子供	名詞-普通名詞-一般		和	1.2130	体	主体	家族	子・子孫	3302	274.741
OC	ダメ	駄目	名詞-普通名詞-形状詞可能		混	3.1332	相	関係	様相	良不良・適不適	3292	273.909
OC	ヨク	良く	副詞		和	3.1921	相	関係	量	限度	3288	273.576
OC	ノル	乗る	動詞-一般		和	2.1541	用	関係	作用	乗り降り・浮き沈み	3276	272.578
OC	ソウ	そう	形状詞-助動詞語幹	様態	和	3.3030	相	活動	心	表情・態度	3257	270.997
OC	ナン	何	名詞-数詞		和	1.1010	体	関係	事柄	こそあど・他	3249	270.331
OC		＊	補助記号-一般		記号						3240	269.582
OC	アゲル	上げる	動詞-非自立可能		和	2.3770	用	活動	経済	授受	3222	268.085
OC	カタ	方	名詞-普通名詞-助数詞可能		和	1.2000	体	主体	人間	人間	3199	266.171
OC	オル	居る	動詞-非自立可能		和	2.1200	用	関係	存在	存在	3192	265.589
OC	ツクル	作る	動詞-一般		和	2.3801	用	活動	事業	生産・産業	3189	265.339
OC		／	補助記号-一般		記号						3183	264.84
OC	ガンバル	頑張る	動詞-一般		混	2.3040	用	活動	心	信念・努力・忍耐	3176	264.257
OC	ナマエ	名前	名詞-普通名詞-一般		和	1.3102	体	活動	言語	名	3176	264.257
OC	マン	万	名詞-数詞		漢	1.1962	体	関係	量	助数接辞	3171	263.841
OC	ソフト	ソフト	名詞-普通名詞-形状詞可能	soft	外	1.3850	体	活動	事業	技術・設備・修理	3169	263.675
OC	メ	目	名詞-普通名詞-一般		和	1.5601	体	自然	身体	頭・目鼻・顔	3166	263.425
OC	レンラク	連絡	名詞-普通名詞-サ変可能		漢	1.3123	体	活動	言語	伝達・報知	3147	261.844
OC	タ	他	名詞-普通名詞-副詞可能		漢	1.1040	体	関係	事柄	本体・代理	3147	261.844
OC	ナガラ	ながら	助詞-接続助詞		和						3143	261.512
OC	オンナ	女	名詞-普通名詞-一般		和	1.2040	体	主体	人間	男女	3131	260.513
OC	オークション	オークション	名詞-普通名詞-一般	auction	外	1.3761	体	活動	経済	売買	3117	259.348
OC	スギル	過ぎる	動詞-非自立可能		和	2.1931	用	関係	量	過不足	3113	259.015
OC	ヒト	一	名詞-数詞		和	1.1960	体	関係	量	数記号（一二三）	3098	257.767
OC		ー	補助記号-一般		記号	x.xxxx					3096	257.601
OC	テン	．	名詞-普通名詞-一般		記号						3095	257.518
OC			未知語			1.4630	体	生産物	機械	機械・装置	3093	257.351
OC	コロ	頃	名詞-普通名詞-副詞可能		和	1.1611	体	関係	時間	時機・時刻	3078	256.103
OC	イヤ	嫌	形状詞-一般		和	3.3020	相	活動	心	好悪・愛憎	3064	254.938
OC	イウ	言う	動詞-一般		和	2.3102	用	活動	言語	名	3051	253.857
OC	リョウ	料	接尾辞-名詞的-一般		漢	1.3740	体	活動	経済	給与・料金・利子	3038	252.775
OC	カカル	掛かる	動詞-非自立可能		和	2.1600	用	関係	時間	時間	3036	252.609
OC	オクル	送る	動詞-一般		和	2.3830	用	活動	事業	運輸	3035	252.526
OC	エス	Ｓ	記号-文字		記号						3029	252.026
