register	UniDic:lForm	UniDic:lemma	UniDic:subLemma	UniDic:pos	UniDic:wType	WLSP:article number	WLSP:class	WLSP:division	WLSP:section	WLSP:article	frequency	pmw
OT	ニッポン	日本		名詞-固有名詞-地名-国	固	1.2590	体	主体	公私	固有地名	1727	1541.808
OT	カンガエル	考える		動詞-一般	和	2.3061	用	活動	心	思考・意見・疑い	1725	1540.022
OT				英単語							1684	1503.419
OT	ニジュウ	二十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	1680	1499.848
OT	トキ	時		名詞-普通名詞-副詞可能	和	1.1690	体	関係	時間	場合	1662	1483.778
OT	ナイ	無い		形容詞-非自立可能	和	3.1200	相	関係	存在	存在	1661	1482.885
OT	マタ	又		接続詞	和	4.1110	他		接続	累加	1644	1467.708
OT	サン	三		名詞-数詞	漢	1.1961	体	関係	量	順位記号（甲乙丙）	1639	1463.244
OT	ハチ	八		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	1531	1366.826
OT		＝		補助記号-一般	記号						1530	1365.933
OT	モノ	物		名詞-普通名詞-サ変可能	和	1.4000	体	生産物	物品	物品	1529	1365.04
OT	ミル	見る		動詞-非自立可能	和	2.3091	用	活動	心	見る	1524	1360.576
OT	キュウヒャク	九百		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	1466	1308.796
OT	ガ	が		助詞-接続助詞	和						1462	1305.225
OT	コレ	此れ		代名詞	和	1.1010	体	関係	事柄	こそあど・他	1431	1277.549
OT	ナナ	七		名詞-数詞	和	1.1960	体	関係	量	数記号（一二三）	1397	1247.195
OT		●		補助記号-一般	記号						1394	1244.517
OT		…		補助記号-一般	記号						1362	1215.948
OT		．		補助記号-句点	記号						1343	1198.986
OT	ビー	Ｂ		記号-文字	記号						1323	1181.13
OT	キュウ	九		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	1306	1165.953
OT	ツ	つ		接尾辞-名詞的-助数詞	和	1.1962	体	関係	量	助数接辞	1288	1149.883
OT	シラベル	調べる		動詞-一般	和	2.3065	用	活動	心	研究・試験・調査・検査など	1210	1080.248
OT	クル	来る		動詞-非自立可能	和	2.1527	用	関係	作用	往復	1203	1073.998
OT	タメ	為		名詞-普通名詞-副詞可能	和	1.1113	体	関係	類	理由・目的・証拠	1177	1050.786
OT	レイ	零		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	1165	1040.073
OT	シャ	者		接尾辞-名詞的-一般	漢	1.2000	体	主体	人間	人間	1145	1022.218
OT	ツギ	次		名詞-普通名詞-一般	和	1.1650	体	関係	時間	順序	1136	1014.183
OT	ツカウ	使う		動詞-一般	和	2.3852	用	活動	事業	扱い・操作・使用	1125	1004.363
OT	カタ	方		接尾辞-名詞的-一般	和	1.3081	体	活動	心	方法	1122	1001.684
OT	サンジュウ	三十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	1107	988.293
OT	タリ	たり		助詞-副助詞	和						1105	986.507
OT	シー	Ｃ		記号-文字	記号						1088	971.33
OT	タチ	達		接尾辞-名詞的-一般	和	1.1951	体	関係	量	群・組・対	1062	948.118
OT	テン	．		名詞-普通名詞-一般	記号						1061	947.226
OT	ソレ	其れ		代名詞	和	1.1010	体	関係	事柄	こそあど・他	1056	942.762
OT	エックス	Ｘ		記号-文字	記号						1036	924.906
OT	ドノ	何の		連体詞	和	3.1010	相	関係	真偽	こそあど・他	1035	924.014
OT	ツク	つく		動詞-一般	和	2.3311	用	活動	生活	処世・出処進退	1023	913.3
OT	マデ	まで		助詞-副助詞	和						1014	905.265
OT	ヒト	人		名詞-普通名詞-一般	和	1.2000	体	主体	人間	人間	1008	899.909
OT	バ	ば		助詞-接続助詞	和						1006	898.123
OT	ナカ	中		名詞-普通名詞-副詞可能	和	1.1770	体	関係	空間	内外	992	885.625
OT	ヒャク	百		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	976	871.34
OT	ツクル	作る		動詞-一般	和	2.1220	用	関係	存在	成立	975	870.448
OT	オオキイ	大きい		形容詞-一般	和	3.1912	相	関係	量	広狭・大小	967	863.305
OT	セイカツ	生活		名詞-普通名詞-サ変可能	漢	1.3330	体	活動	生活	生活・起臥	960	857.056
OT	ヨン	四		名詞-数詞	和	1.1961	体	関係	量	順位記号（甲乙丙）	944	842.772
OT	ヨイ	良い		形容詞-非自立可能	和	3.1332	相	関係	様相	良不良・適不適	938	837.415
OT	ヨンジュウ	四十		名詞-数詞	混	1.1960	体	関係	量	数記号（一二三）	937	836.522
OT	イク	行く		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	929	829.38
OT	セル	せる		助動詞	和						927	827.595
OT	カ	化		接尾辞-名詞的-サ変可能	漢	1.1500	体	関係	作用	作用・変化	919	820.453
OT		〜		補助記号-一般	記号						917	818.667
OT	ヘ	へ		助詞-格助詞	和						912	814.203
OT	ヘンカ	変化		名詞-普通名詞-サ変可能	漢	1.1500	体	関係	作用	作用・変化	910	812.418
OT	カク	書く		動詞-一般	和	2.3151	用	活動	言語	書き	891	795.455
OT		―		補助記号-一般	記号	x.xxxx					890	794.562
OT	モツ	持つ		動詞-一般	和	2.3701	用	活動	経済	所有	890	794.562
OT	ピー	Ｐ		記号-文字	記号						870	776.707
OT	バアイ	場合		名詞-普通名詞-副詞可能	和	1.1690	体	関係	時間	場合	861	768.672
OT	ヨウ	様		形状詞-助動詞語幹	漢	3.1130	相	関係	類	異同・類似	856	764.208
OT	ミズ	水		名詞-普通名詞-一般	和	1.5130	体	自然	物質	水・乾湿	847	756.174
OT	モノ	物		名詞-普通名詞-サ変可能	和	1.1000	体	関係	事柄	事柄	845	754.388
OT	ズ	ず		助動詞	和						843	752.602
OT	キュウジュウ	九十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	829	740.104
OT	チイキ	地域		名詞-普通名詞-一般	漢	1.1720	体	関係	空間	範囲・席・跡	826	737.425
OT	ゴジュウ	五十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	824	735.64
OT	モトメル	求める		動詞-一般	和	2.3042	用	活動	心	欲望・期待・失望	822	733.854
OT		［		補助記号-括弧開	記号						812	724.927
OT	ヒョウ	表		名詞-普通名詞-一般	漢	1.3115	体	活動	言語	表・図・譜・式	808	721.356
OT		↑		補助記号-一般	記号						806	719.57
OT		］		補助記号-括弧閉	記号						806	719.57
OT	セカイ	世界		名詞-普通名詞-一般	漢	1.2600	体	主体	社会	社会・世界	792	707.071
OT	アラワス	表わす		動詞-一般	和	2.3092	用	活動	心	見せる	790	705.286
OT	カズ	数		名詞-普通名詞-一般	和	1.1902	体	関係	量	数	768	685.645
OT	レイ	例		名詞-普通名詞-一般	漢	1.1100	体	関係	類	類・例	759	677.61
OT	オコナウ	行う		動詞-一般	和	2.3430	用	活動	行為	行為・活動	758	676.717
OT	リヨウ	利用		名詞-普通名詞-サ変可能	漢	1.3852	体	活動	事業	扱い・操作・使用	755	674.039
OT	オオイ	多い		形容詞-一般	和	3.1910	相	関係	量	多少	741	661.54
OT	ラ	等		接尾辞-名詞的-一般	和	1.1951	体	関係	量	群・組・対	738	658.862
OT	シャカイ	社会		名詞-普通名詞-一般	漢	1.2600	体	主体	社会	社会・世界	738	658.862
OT	ワカル	分かる		動詞-一般	和	2.3062	用	活動	心	注意・認知・了解	732	653.505
OT	カンケイ	関係		名詞-普通名詞-サ変可能	漢	1.1110	体	関係	類	関係	729	650.827
OT	ダイ	第		接頭辞	漢	3.1101	相	関係	類	等級・系列	727	649.042
OT	ダケ	だけ		助詞-副助詞	和						721	643.685
OT	チキュウ	地球		名詞-普通名詞-一般	漢	1.5210	体	自然	天地	天体	715	638.328
OT	ジブン	自分		名詞-普通名詞-一般	漢	1.2020	体	主体	人間	自他	714	637.436
OT	ロクジュウ	六十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	711	634.757
OT	ナニ	何		代名詞	和	1.1010	体	関係	事柄	こそあど・他	694	619.58
OT	リョウ	量		名詞-普通名詞-一般	漢	1.1900	体	関係	量	量	691	616.902
OT	セン	線		名詞-普通名詞-一般	漢	1.1711	体	関係	空間	線	688	614.224
OT	サン	さん		接尾辞-名詞的-一般	和	1.2000	体	主体	人間	人間	675	602.618
OT	ジョウホウ	情報		名詞-普通名詞-一般	漢	1.3123	体	活動	言語	伝達・報知	665	593.69
OT	ドウ	どう		副詞	和	3.1010	相	関係	真偽	こそあど・他	659	588.333
OT	タカイ	高い		形容詞-一般	和	3.1911	相	関係	量	長短・高低・深浅・厚薄・遠近	647	577.62
OT	ゲンシ	原子		名詞-普通名詞-一般	漢	1.5100	体	自然	物質	物体・物質	640	571.371
OT	モンダイ	問題		名詞-普通名詞-一般	漢	1.3070	体	活動	心	意味・問題・趣旨など	640	571.371
OT	エイチ	Ｈ		記号-文字	記号						638	569.585
OT	ナ	な		助詞-終助詞	和						633	565.122
OT	セイ	性		接尾辞-名詞的-一般	漢	1.1330	体	関係	様相	性質	625	557.979
OT	ジダイ	時代		名詞-普通名詞-一般	漢	1.1623	体	関係	時間	時代	622	555.301
OT		×		補助記号-一般	記号						621	554.408
OT	カンキョウ	環境		名詞-普通名詞-一般	漢	1.1780	体	関係	空間	ふち・そば・まわり・沿い	618	551.73
OT		〔		補助記号-括弧開	記号						615	549.052
OT		〕		補助記号-括弧閉	記号						614	548.159
OT	テン	点		名詞-普通名詞-助数詞可能	漢	1.1710	体	関係	空間	点	612	546.373
OT	モチイル	用いる		動詞-一般	和	2.3852	用	活動	事業	扱い・操作・使用	601	536.553
OT	ハチジュウ	八十		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	590	526.733
OT	ジッケン	実験		名詞-普通名詞-サ変可能	漢	1.3065	体	活動	心	研究・試験・調査・検査など	590	526.733
OT		＋		補助記号-一般	記号						589	525.84
OT	オナジ	同じ		連体詞	和	3.1130	相	関係	類	異同・類似	584	521.376
OT		→		補助記号-一般	記号						581	518.698
OT	ヒト	一		名詞-数詞	和	1.1960	体	関係	量	数記号（一二三）	581	518.698
OT	セイブツ	生物		名詞-普通名詞-一般	漢	1.5300	体	自然	生物	生物	579	516.912
OT	カラ	から		助詞-接続助詞	和						574	512.448
OT	コク	国		接尾辞-名詞的-一般	漢	1.2530	体	主体	公私	国	574	512.448
OT	ケン	県		名詞-普通名詞-一般	漢	1.2550	体	主体	公私	政治的区画	571	509.77
OT	ケイサン	計算		名詞-普通名詞-サ変可能	漢	1.3064	体	活動	心	測定・計算	570	508.877
OT	ヨ	よ		助詞-終助詞	和						567	506.199
OT	センチメートル	センチメートル		名詞-普通名詞-助数詞可能	外	1.1962	体	関係	量	助数接辞	562	501.735
OT	シメス	示す		動詞-一般	和	2.3092	用	活動	心	見せる	562	501.735
OT	ヒョウゲン	表現		名詞-普通名詞-サ変可能	漢	1.3103	体	活動	言語	表現	561	500.842
OT		−		補助記号-一般	記号						559	499.057
OT	ウエ	上		名詞-普通名詞-副詞可能	和	1.1741	体	関係	空間	上下	554	494.593
OT	ナサル	為さる		動詞-非自立可能	和	2.3430	用	活動	行為	行為・活動	549	490.129
OT	ヨリ	より		助詞-格助詞	和						547	488.344
OT	コ	個		接尾辞-名詞的-助数詞	漢	1.1962	体	関係	量	助数接辞	547	488.344
OT	ブツ	物		接尾辞-名詞的-一般	漢	1.4000	体	生産物	物品	物品	545	486.558
OT	オ	御		接頭辞	和	4.3320	他		挨拶	手紙用語など	541	482.987
OT	ジカン	時間		名詞-普通名詞-助数詞可能	漢	1.1600	体	関係	時間	時間	540	482.094
OT	チカラ	力		名詞-普通名詞-一般	和	1.1400	体	関係	力	力	537	479.416
OT		／		補助記号-一般	記号						537	479.416
OT	オク	置く		動詞-非自立可能	和	2.1513	用	関係	作用	固定・傾き・転倒など	536	478.523
OT	ゴ	五		名詞-数詞	漢	1.1961	体	関係	量	順位記号（甲乙丙）	536	478.523
OT	シカシ	然し		接続詞	和	4.1130	他		接続	反対	533	475.845
OT	ジン	人		接尾辞-名詞的-一般	漢	1.2000	体	主体	人間	人間	533	475.845
OT	シキ	式		名詞-普通名詞-一般	漢	1.3360	体	活動	生活	行事・式典・宗教的行事	532	474.952
OT	オー	Ｏ		記号-文字	記号						527	470.488
OT	ホウホウ	方法		名詞-普通名詞-一般	漢	1.3081	体	活動	心	方法	527	470.488
OT	ナガイ	長い		形容詞-一般	和	3.1911	相	関係	量	長短・高低・深浅・厚薄・遠近	525	468.703
OT	タイスル	対する		動詞-一般	混	2.1120	用	関係	類	相対	520	464.239
OT	カタチ	形		名詞-普通名詞-一般	和	1.1800	体	関係	形	形・型・姿・構え	520	464.239
OT	タメ	為		名詞-普通名詞-副詞可能	和	1.1112	体	関係	類	因果	519	463.346
OT	ナナジュウ	七十		名詞-数詞	混	1.1960	体	関係	量	数記号（一二三）	513	457.99
OT		：		補助記号-一般	記号						508	453.526
OT	ヨウス	様子		名詞-普通名詞-一般	漢	1.1300	体	関係	様相	様相・情勢	507	452.633
OT	ブブン	部分		名詞-普通名詞-一般	漢	1.1940	体	関係	量	一般・全体・部分	507	452.633
OT		』		補助記号-括弧閉	記号						507	452.633
OT	ナガラ	ながら		助詞-接続助詞	和						505	450.847
OT	エネルギー	エネルギー	energy	名詞-普通名詞-一般	外	1.5001	体	自然	自然	エネルギー	505	450.847
OT	デンシ	電子		名詞-普通名詞-一般	漢	1.5100	体	自然	物質	物体・物質	503	449.062
OT		『		補助記号-括弧開	記号						499	445.491
OT	イレル	入れる		動詞-一般	和	2.1532	用	関係	作用	入り・入れ	490	437.456
OT	ケッカ	結果		名詞-普通名詞-副詞可能	漢	1.1112	体	関係	類	因果	484	432.099
OT	ブッシツ	物質		名詞-普通名詞-一般	漢	1.5100	体	自然	物質	物体・物質	481	429.421
OT	カツドウ	活動		名詞-普通名詞-サ変可能	漢	1.3430	体	活動	行為	行為・活動	480	428.528
OT	タイ	体		名詞-普通名詞-助数詞可能	漢	1.1040	体	関係	事柄	本体・代理	478	426.743
OT	ハンノウ	反応		名詞-普通名詞-サ変可能	漢	1.1500	体	関係	作用	作用・変化	473	422.279
OT	サンカ	酸化		名詞-普通名詞-サ変可能	漢	1.5160	体	自然	物質	物質の変化	473	422.279
OT	オク	於く		動詞-一般	和	2.1513	用	関係	作用	固定・傾き・転倒など	470	419.601
OT	サマザマ	様々		形状詞-一般	和	3.1341	相	関係	様相	弛緩・粗密・繁簡	469	418.708
OT	ブッタイ	物体		名詞-普通名詞-一般	漢	1.5100	体	自然	物質	物体・物質	466	416.03
OT	ワイ	Ｙ		記号-文字	記号	x.xxxx					465	415.137
OT	シゼン	自然		名詞-普通名詞-一般	漢	1.5000	体	自然	自然	自然	465	415.137
OT	チュウシン	中心		名詞-普通名詞-一般	漢	1.1742	体	関係	空間	中・隅・端	465	415.137
OT	ワタクシ	私	代名詞	代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	465	415.137
OT	ホカ	他		名詞-普通名詞-副詞可能	和	1.1040	体	関係	事柄	本体・代理	462	412.459
OT	ゴ	語		名詞-普通名詞-一般	漢	1.3101	体	活動	言語	言語	460	410.673
OT	ヒトビト	人々		名詞-普通名詞-一般	和	1.2000	体	主体	人間	人間	460	410.673
OT	ヤスイ	易い		接尾辞-形容詞的	和	3.1346	相	関係	様相	難易・安危	457	407.995
OT	オモウ	思う		動詞-一般	和	2.3061	用	活動	心	思考・意見・疑い	454	405.316
OT		？		補助記号-句点	記号						453	404.424
OT	ハッピャク	八百		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	448	399.96
OT	ディー	Ｄ		記号-文字	記号						447	399.067
OT	エヌ	Ｎ		記号-文字	記号						446	398.174
OT	タイ	たい		助動詞	和						440	392.818
OT	フクム	含む		動詞-一般	和	2.1130	用	関係	類	異同・類似	439	391.925
OT	ハヤイ	早い		形容詞-一般	和	3.1913	相	関係	量	速度	439	391.925
OT	ワタシ	私		代名詞	和	1.2010	体	主体	人間	われ・なれ・かれ	438	391.032
OT	ネ	ね		助詞-終助詞	和						437	390.139
OT	クニ	国		名詞-普通名詞-一般	和	1.2530	体	主体	公私	国	426	380.319
OT	ドンナ	どんな		連体詞	和	3.1010	相	関係	真偽	こそあど・他	422	376.748
OT	リョク	力		接尾辞-名詞的-一般	漢	1.1400	体	関係	力	力	421	375.855
OT	ヨブ	呼ぶ		動詞-一般	和	2.3102	用	活動	言語	名	419	374.07
OT	メートル	メートル	metre	名詞-普通名詞-助数詞可能	外	1.1962	体	関係	量	助数接辞	417	372.284
OT	ダイ	大		接頭辞	漢	3.1912	相	関係	量	広狭・大小	416	371.391
OT	ニヒャク	二百		名詞-数詞	漢	1.1960	体	関係	量	数記号（一二三）	416	371.391
OT	ツヨイ	強い		形容詞-一般	和	3.1400	相	関係	力	力	414	369.606
OT	シタ	下		名詞-普通名詞-一般	和	1.1741	体	関係	空間	上下	411	366.927
OT	イチ	位置		名詞-普通名詞-サ変可能	漢	1.1700	体	関係	空間	空間・場所	410	366.035
OT	チョウサ	調査		名詞-普通名詞-サ変可能	漢	1.3065	体	活動	心	研究・試験・調査・検査など	410	366.035
OT	コロ	頃		名詞-普通名詞-副詞可能	和	1.1611	体	関係	時間	時機・時刻	407	363.356
OT	ケイザイ	経済		名詞-普通名詞-一般	漢	1.3710	体	活動	経済	経済・収支	406	362.464
OT	グラフ	グラフ	graph	名詞-普通名詞-一般	外	1.3115	体	活動	言語	表・図・譜・式	406	362.464
OT	オオキナ	大きな		連体詞	和	3.1912	相	関係	量	広狭・大小	406	362.464
OT	ウンドウ	運動		名詞-普通名詞-サ変可能	漢	1.1510	体	関係	作用	動き	405	361.571
OT	ショクブツ	植物		名詞-普通名詞-一般	漢	1.5400	体	自然	植物	植物	404	360.678
OT	シャシン	写真		名詞-普通名詞-一般	漢	1.3220	体	活動	芸術	芸術・美術	403	359.785
OT	クフウ	工夫		名詞-普通名詞-サ変可能	漢	1.3061	体	活動	心	思考・意見・疑い	403	359.785
OT	ニンゲン	人間		名詞-普通名詞-一般	漢	1.2000	体	主体	人間	人間	401	358.0
OT	トキ	時		名詞-普通名詞-副詞可能	和	1.1611	体	関係	時間	時機・時刻	398	355.321
OT	デンキ	電気		名詞-普通名詞-一般	漢	1.5001	体	自然	自然	エネルギー	397	354.429
OT	シ	市		名詞-普通名詞-一般	漢	1.2550	体	主体	公私	政治的区画	397	354.429
OT	ヒツヨウ	必要		名詞-普通名詞-形状詞可能	漢	3.3710	相	活動	経済	経済・収支	395	352.643
OT	フタ	二		名詞-数詞	和	1.1960	体	関係	量	数記号（一二三）	394	351.75
OT	ケイ	形		接尾辞-名詞的-一般	漢	1.1800	体	関係	形	形・型・姿・構え	393	350.858
OT				英単語		1.4630	体	生産物	機械	機械・装置	392	349.965
OT	タイヨウ	太陽		名詞-普通名詞-一般	漢	1.5210	体	自然	天地	天体	392	349.965
OT	グラム	グラム		名詞-普通名詞-助数詞可能	外	1.1962	体	関係	量	助数接辞	391	349.072
OT	スウ	数		名詞-普通名詞-一般	漢	1.1902	体	関係	量	数	390	348.179
OT	ガツ	月		名詞-普通名詞-助数詞可能	漢	1.1962	体	関係	量	助数接辞	390	348.179
OT	アメリカ	アメリカ	America	名詞-固有名詞-地名-国	固	1.2590	体	主体	公私	固有地名	388	346.394
OT	イロイロ	色々		形状詞-一般	和	3.1341	相	関係	様相	弛緩・粗密・繁簡	386	344.608
OT	エル	得る		動詞-非自立可能	和	2.3700	用	活動	経済	取得	383	341.93
OT	ジョウ	上		接尾辞-名詞的-副詞可能	漢	1.1741	体	関係	空間	上下	380	339.252
OT	デンリュウ	電流		名詞-普通名詞-一般	漢	x.xxxx					379	338.359
OT	シル	知る		動詞-一般	和	2.3062	用	活動	心	注意・認知・了解	376	335.681
OT	トコロ	所		名詞-普通名詞-副詞可能	和	1.1690	体	関係	時間	場合	375	334.788
OT	イミ	意味		名詞-普通名詞-サ変可能	漢	1.3070	体	活動	心	意味・問題・趣旨など	375	334.788
OT	トシ	都市		名詞-普通名詞-一般	漢	1.2540	体	主体	公私	都会・田舎	373	333.002
OT	マトメル	纏める		動詞-一般	和	2.1551	用	関係	作用	統一・組み合わせ	367	327.646
OT	モジ	文字		名詞-普通名詞-一般	漢	1.3113	体	活動	言語	文字	366	326.753
OT	エフ	Ｆ		記号-文字	記号						366	326.753
OT	セイジ	政治		名詞-普通名詞-一般	漢	1.3600	体	活動	待遇	支配・政治	365	325.86
OT	ケンキュウ	研究		名詞-普通名詞-サ変可能	漢	1.3065	体	活動	心	研究・試験・調査・検査など	364	324.967
OT	クワエル	加える		動詞-一般	和	2.1580	用	関係	作用	増減・補充	362	323.182
OT	チ	地		名詞-普通名詞-一般	漢	1.1700	体	関係	空間	空間・場所	362	323.182
OT	ドウブツ	動物		名詞-普通名詞-一般	漢	1.5500	体	自然	動物	動物	360	321.396
OT	ヤク	約		接頭辞	漢	3.1920	相	関係	量	程度	360	321.396
OT		▲		補助記号-一般	記号						360	321.396
OT	チュウゴク	中国		名詞-固有名詞-地名-国	固	1.2590	体	主体	公私	固有地名	360	321.396
OT		‐		補助記号-一般	記号						359	320.504
OT	ソレゾレ	其々		名詞-普通名詞-副詞可能	和	1.1940	体	関係	量	一般・全体・部分	357	318.718
OT	ページ	ページ	page	名詞-普通名詞-助数詞可能	外	1.1962	体	関係	量	助数接辞	355	316.933
OT	シゴト	仕事		名詞-普通名詞-サ変可能	和	1.3320	体	活動	生活	労働・作業・休暇	353	315.147
OT	ツクル	作る		動詞-一般	和	2.3801	用	活動	事業	生産・産業	350	312.469
OT	ツケル	付ける		動詞-非自立可能	和	2.1560	用	関係	作用	接近・接触・隔離	350	312.469
OT	エキ	液		名詞-普通名詞-一般	漢	x.xxxx					350	312.469
OT	ナン	何		名詞-数詞	和	1.1010	体	関係	事柄	こそあど・他	349	311.576
OT	ブン	分		接尾辞-名詞的-サ変可能	漢	1.1962	体	関係	量	助数接辞	348	310.683
OT	カンサツ	観察		名詞-普通名詞-サ変可能	漢	1.3091	体	活動	心	見る	348	310.683
OT	カン	館		接尾辞-名詞的-一般	漢	1.2650	体	主体	社会	店・旅館・病院・劇場など	348	310.683
OT	エイキョウ	影響		名詞-普通名詞-サ変可能	漢	1.1112	体	関係	類	因果	348	310.683
OT	シリョウ	資料		名詞-普通名詞-一般	漢	1.1040	体	関係	事柄	本体・代理	347	309.79
OT	サクヒン	作品		名詞-普通名詞-一般	漢	1.3200	体	活動	芸術	創作・著述	347	309.79
OT	チズ	地図		名詞-普通名詞-一般	漢	1.3115	体	活動	言語	表・図・譜・式	345	308.005
OT	キョリ	距離		名詞-普通名詞-一般	漢	1.1911	体	関係	量	長短・高低・深浅・厚薄・遠近	344	307.112
OT	セイキ	世紀		名詞-普通名詞-一般	漢	1.1962	体	関係	量	助数接辞	344	307.112
OT	オオク	多く		名詞-普通名詞-副詞可能	和	1.1910	体	関係	量	多少	339	302.648
OT	ヒカリ	光		名詞-普通名詞-一般	和	1.5010	体	自然	自然	光	339	302.648
OT	ロウドウ	労働		名詞-普通名詞-サ変可能	漢	1.3320	体	活動	生活	労働・作業・休暇	336	299.97
OT	サクセイ	作成		名詞-普通名詞-サ変可能	漢	1.1220	体	関係	存在	成立	336	299.97
